,代码,名称,最新价,股数
504,002739,万达电影,12.84,22040.31999999999
505,300709,精研科技,26.76,158.71
506,688266,泽璟制药-U,57.96,3360.259999999998
507,688372,伟测科技,45.72,292.35999999999996
508,300750,宁德时代,188.39,
509,603786,科博达,69.02,4623.16
510,688513,苑东生物,55.02,1363.4599999999998
511,300511,雪榕生物,2.7,0.0
512,688006,杭可科技,19.45,4697.549999999999
513,600875,东方电气,18.38,3476.42
514,300619,金银河,28.12,0.0
515,002049,紫光国微,59.04,13950.309999999998
516,839493,并行科技,46.05,3.2
517,300552,万集科技,39.55,8.67
518,688678,福立旺,11.38,973.0
519,300469,信息发展,9.76,1788.7399999999998
520,000727,冠捷科技,2.17,11991.510000000004
521,603927,中科软,19.02,195.36
522,688608,恒玄科技,144.15,854.5999999999999
523,688019,安集科技,134.51,1870.9699999999998
524,832149,利尔达,3.27,21.5
525,603005,晶方科技,19.62,1649.42
526,000420,吉林化纤,3.27,5517.0
527,000078,海王生物,2.18,0.0
528,002126,银轮股份,18.61,14170.210000000006
529,603031,安孚科技,23.11,6.49
530,000677,恒天海龙,2.76,0.0
531,300502,新易盛,110.5,25067.100000000017
532,600136,*ST明诚,1.66,0.0
533,002550,千红制药,5.54,144.22
534,300547,川环科技,17.21,192.86
535,600285,羚锐制药,25.55,10203.939999999997
536,002036,联创电子,7.23,460.88
537,600487,亨通光电,15.03,944.64
538,688055,龙腾光电,3.36,943.51
539,600750,江中药业,25.83,3827.33
540,688656,浩欧博,22.6,87.96
541,603626,科森科技,5.65,203.33999999999997
542,002595,豪迈科技,38.44,10055.129999999996
543,600323,瀚蓝环境,20.41,3719.300000000001
544,300976,达瑞电子,44.84,77.8
545,603296,华勤技术,58.48,2377.0400000000004
546,603236,移远通信,49.98,478.91
547,688567,孚能科技,11.37,10.780000000000001
548,605060,联德股份,15.35,1330.84
549,300772,运达股份,10.27,545.4000000000001
550,002457,青龙管业,7.99,0.0
551,301238,瑞泰新材,16.59,423.94000000000005
552,002134,天津普林,8.59,118.66
553,688800,瑞可达,30.44,6.619999999999999
554,002632,道明光学,8.05,0.0
555,688083,中望软件,77.18,1593.8299999999997
556,601990,南京证券,8.09,0.0
557,002787,华源控股,6.94,0.0
558,688292,浩瀚深度,16.79,4.48
559,605376,博迁新材,22.59,3223.7000000000003
560,300450,先导智能,19.72,
561,301349,信德新材,30.18,322.65
562,301051,信濠光电,26.22,454.83000000000004
563,002073,软控股份,7.58,2621.4900000000002
564,600039,四川路桥,8.17,1010.8399999999999
565,300493,润欣科技,8.21,0.0
566,300700,岱勒新材,8.8,2836.45
567,002521,齐峰新材,12.34,182.12
568,301382,蜂助手,19.4,38.51
569,603197,保隆科技,35.96,3272.7900000000004
570,301369,联动科技,47.18,39.86
571,836239,长虹能源,17.7,400.36
572,601311,骆驼股份,8.28,5738.77
573,688332,中科蓝讯,56.45,1639.8599999999994
574,300456,赛微电子,17.25,1252.7
575,688787,海天瑞声,58.92,20.86
576,688512,慧智微-U,9.54,106.45
577,300283,温州宏丰,4.77,0.0
578,000799,酒鬼酒,51.51,2215.19
579,603099,长白山,22.85,526.8699999999999
580,301307,美利信,22.3,0.0
581,300440,运达科技,5.43,371.17999999999995
582,688525,佰维存储,56.21,2713.0599999999995
583,002008,大族激光,21.17,1770.9900000000002
584,002056,横店东磁,13.97,14326.639999999998
585,002463,沪电股份,37.68,67556.19000000003
586,002120,韵达股份,7.91,14050.340000000002
587,688049,炬芯科技,27.45,650.04
588,000739,普洛药业,14.64,8576.750000000002
589,605319,无锡振华,19.56,735.9199999999998
590,603963,*ST大药,3.06,0.0
591,002077,大港股份,13.52,642.62
592,688289,圣湘生物,18.45,5007.6
593,600552,凯盛科技,9.84,7347.079999999999
594,300560,中富通,11.08,0.0
595,301555,惠柏新材,29.73,0.16
596,601500,通用股份,5.62,9774.12
597,000661,长春高新,102.45,6926.679999999999
598,300368,ST汇金,2.5,0.0
599,300656,民德电子,21.96,1024.0
600,001301,尚太科技,48.44,2426.7200000000003
601,300705,九典制药,26.47,12355.480000000007
